			External Weight (Assume Normal Distribution)					
Day	M2_x	M2_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	Notes
0	-0.6	0.2	0	0	0	0	0	Initial condition: cautious, more we, higher love
7	-0.5	0.18	1	-2	-2	-2	-2	First date: feels pressure, pulls back, love dips
14	-0.28	0.25	0	0	1	1	0	Early wobble: guarded, tests boundaries, still cautious
21	-0.25	0.35	5	5	3	3	3	Repair begins: warms as M1 slows pace, trust builds
28	-0.22	0.5	5	6	5	5	5	Shared rhythm: enjoys honesty, casual comfort, love rises
35	-0.2	0.52	6	7	6	6	6	Repair complete: feels safe, more engaged
42	-0.18	0.54	7	8	7	7	7	Stable Q2 band: agency rises, still we-oriented
49	-0.16	0.55	8	9	8	8	8	Steady connection: participates actively, playful tone
56	-0.12	0.56	9	9	9	9	9	Higher plateau: feels secure, love continues upward
60	-0.1	0.57	10	10	10	9	10	Outcome: stable Q2 relationship, stronger love
