day,v,r,f,a,S,notes,marker,locked
0,8,9,9,8,8,"Intense initial attraction: passionate start",star,*
7,9,9,10,9,9,"Honeymoon phase: everything feels perfect",,
14,9,8,9,8,8,"Still very high but slight reality creeping in",,
21,8,7,8,7,7,"First minor disappointments",,
28,7,6,7,6,6,"Novelty wearing off",,
35,6,5,6,5,5,"Growing apart slowly",star,
42,5,4,5,4,4,"Conversations become routine",,
49,4,3,4,3,3,"Effort declining on both sides",,
56,3,2,3,2,2,"Going through motions",,
63,2,1,2,1,1,"Connection fading",,
70,1,0,1,0,0,"Barely present for each other",,
77,0,-1,0,-1,-1,"Relationship effectively over",star,*
