name,Exes Reconnecting Post-Breakup
time_unit,days
gamma_self_0,-5-3j
step,v,r,f,a,S,notes
0,-5,-3,-4,-2,0,Initial: Post-breakup - hurt and distant
7,-3,-2,-3,-1,0,Tentative contact: casual text exchange
14,0,0,-1,0,0,Neutral ground: coffee as friends
21,2,1,1,1,1,Warming: remembering good times
28,3,3,3,2,2,Reconnection: addressing past issues
35,4,5,5,4,4,Healing: forgiveness emerging
42,5,6,6,5,5,Trust rebuilding: vulnerability returns
49,6,7,7,7,7,New foundation: learning from past
56,7,8,8,8,8,Stronger bond: matured relationship
60,8,9,9,9,9,Outcome: second chance - deeper love
