name,Single Dating to Love - M1
day,v,r,f,a,S,notes,marker,locked
0,5,0,2,2,0,"Initial condition: eager but moderate love",,*
7,5,2,2,3,1,"First date: strong attraction developing",,
14,5,-2,2,3,-1,"Early wobble: pressing pace - M2 pulls back",star,
21,5,2,5,5,3,"Repair begins: slows down and listens",star,
28,5,5,5,5,5,"Shared rhythm: casual comfort - ego softens",,
35,5,7,7,7,7,"Repair complete: trust growing - balanced",,
42,6,8,8,8,8,"Stable connection: ego moderated - love rising",,
49,7,9,9,9,9,"Steady connection: playful and secure",,
56,8,9,9,9,10,"Higher plateau: feels secure",,
60,9,10,10,9,10,"Outcome: stable relationship - strong love",star,*
