Day,M1_Love,M2_Love,Event
0,0.0,0.0,"Initial condition: eager, more ego, moderate love"
7,0.009,0.009,"First date: over-asserts, feels strong attraction, ego still high"
14,0.005,0.005,"Early wobble: pressing pace, notices M2 pulling back"
21,0.191,0.191,"Repair begins: slows down, listens, feels relief"
28,1.115,1.115,"Shared rhythm: enjoys casual comfort, ego softens"
35,10.324,10.324,"Repair complete: feels trust growing, more balanced"
42,41.028,41.028,"Stable Q2 band: ego moderated, love rising"
49,139.78,139.78,"Steady connection: playful, alternating initiation"
56,190.332,190.332,"Higher plateau: feels secure, love continues upward"
60,774.335,1635.542,"Outcome: stable Q2 relationship, stronger love"
