External Weight Information				
Item	Info./Value	Min	Max	Notes
Distribution	Truncated, Normal Distribution	NA	NA	
Standard Dev	0.25	NA	NA	
Range (avg, min, max)	0.5	0	1	
Entry (avg, min, max), ent	0	-10	10	-10 = Against you, 10 = For you
Entry, ent, to x, transfer	ent/20+0.5	0	1	x is used in G(x)

			"External Weight (Assume Normal Distribution), 
Entry = {-10,10}"					
Day	M1_x	M1_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	Notes
0	-0.5	0.1	5	0	2	2	0	Initial condition: eager, more ego, moderate love
7	-0.4	0.2	5	2	2	3	1	First date: over-asserts, feels strong attraction, ego still high
14	-0.3	0.3	5	-2	2	3	-1	Early wobble: pressing pace, notices M2 pulling back
21	-0.25	0.38	5	2	5	5	3	Repair begins: slows down, listens, feels relief
28	-0.2	0.4	5	5	5	5	5	Shared rhythm: enjoys casual comfort, ego softens
35	-0.18	0.42	5	7	7	7	7	Repair complete: feels trust growing, more balanced
42	-0.16	0.44	6	8	8	8	8	Stable Q2 band: ego moderated, love rising
49	-0.155	0.46	7	9	9	9	9	Steady connection: playful, alternating initiation
56	-0.15	0.48	8	9	9	9	10	Higher plateau: feels secure, love continues upward
60	-0.14	0.55	9	10	10	9	10	Outcome: stable Q2 relationship, stronger love

			External Weight (Assume Normal Distribution)					
Day	M2_x	M2_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	Notes
0	-0.6	0.2	0	0	0	0	0	Initial condition: cautious, more we, higher love
7	-0.5	0.18	1	-2	-2	-2	-2	First date: feels pressure, pulls back, love dips
14	-0.28	0.25	0	0	1	1	0	Early wobble: guarded, tests boundaries, still cautious
21	-0.25	0.35	5	5	3	3	3	Repair begins: warms as M1 slows pace, trust builds
28	-0.22	0.5	5	6	5	5	5	Shared rhythm: enjoys honesty, casual comfort, love rises
35	-0.2	0.52	6	7	6	6	6	Repair complete: feels safe, more engaged
42	-0.18	0.54	7	8	7	7	7	Stable Q2 band: agency rises, still we-oriented
49	-0.16	0.55	8	9	8	8	8	Steady connection: participates actively, playful tone
56	-0.12	0.56	9	9	9	9	9	Higher plateau: feels secure, love continues upward
60	-0.1	0.57	10	10	10	9	10	Outcome: stable Q2 relationship, stronger love
